Station,StationName,Date,TMax,TMin
GHCND:USC00190120,AMHERST MA US,19880913,73,51
GHCND:USC00190120,AMHERST MA US,19880914,74,41
GHCND:USC00190120,AMHERST MA US,19880915,72,36
GHCND:USC00190120,AMHERST MA US,19880916,66,34
GHCND:USC00190120,AMHERST MA US,19880917,68,42
GHCND:USC00190120,AMHERST MA US,19880918,79,42
GHCND:USC00190120,AMHERST MA US,19880919,80,45
GHCND:USC00190120,AMHERST MA US,19880920,80,62
GHCND:USC00190120,AMHERST MA US,19880921,75,61
GHCND:USC00190120,AMHERST MA US,19880922,74,56
GHCND:USC00190120,AMHERST MA US,19880923,73,51
GHCND:USC00190120,AMHERST MA US,19880924,75,45
GHCND:USC00190120,AMHERST MA US,19880925,70,44
GHCND:USC00190120,AMHERST MA US,19880926,72,44
GHCND:USC00190120,AMHERST MA US,19880927,73,37
GHCND:USC00190120,AMHERST MA US,19880928,74,48
GHCND:USC00190120,AMHERST MA US,19880929,73,30
GHCND:USC00190120,AMHERST MA US,19880930,73,35
GHCND:USC00190120,AMHERST MA US,19881001,77,47
GHCND:USC00190120,AMHERST MA US,19881002,78,45
GHCND:USC00190120,AMHERST MA US,19881003,76,44
GHCND:USC00190120,AMHERST MA US,19881004,68,51
GHCND:USC00190120,AMHERST MA US,19881005,64,45
GHCND:USC00190120,AMHERST MA US,19881006,59,32
GHCND:USC00190120,AMHERST MA US,19881007,54,29
GHCND:USC00190120,AMHERST MA US,19881008,53,38
GHCND:USC00190120,AMHERST MA US,19881009,54,30
GHCND:USC00190120,AMHERST MA US,19881010,64,28
GHCND:USC00190120,AMHERST MA US,19881011,65,48
GHCND:USC00190120,AMHERST MA US,19881012,62,29
GHCND:USC00190120,AMHERST MA US,19881013,50,34
GHCND:USC00190120,AMHERST MA US,19881014,57,26
GHCND:USC00190120,AMHERST MA US,19881015,58,29
GHCND:USC00190120,AMHERST MA US,19881016,62,29
GHCND:USC00190120,AMHERST MA US,19881017,62,30
GHCND:USC00190120,AMHERST MA US,19881018,67,50
GHCND:USC00190120,AMHERST MA US,19881019,65,39
GHCND:USC00190120,AMHERST MA US,19881020,53,23
GHCND:USC00190120,AMHERST MA US,19881021,51,20
GHCND:USC00190120,AMHERST MA US,19881022,52,40
GHCND:USC00190120,AMHERST MA US,19881023,54,36
GHCND:USC00190120,AMHERST MA US,19881024,58,32
GHCND:USC00190120,AMHERST MA US,19881025,59,29
GHCND:USC00190120,AMHERST MA US,19881026,52,24
GHCND:USC00190120,AMHERST MA US,19881027,55,25
GHCND:USC00190120,AMHERST MA US,19881028,57,24
GHCND:USC00190120,AMHERST MA US,19881029,59,29
GHCND:USC00190120,AMHERST MA US,19881030,51,24
GHCND:USC00190120,AMHERST MA US,19881031,46,17
GHCND:USC00190120,AMHERST MA US,19881101,46,23
GHCND:USC00190120,AMHERST MA US,19881102,47,36
GHCND:USC00190120,AMHERST MA US,19881103,49,37
GHCND:USC00190120,AMHERST MA US,19881104,61,22
GHCND:USC00190120,AMHERST MA US,19881105,67,36
GHCND:USC00190120,AMHERST MA US,19881106,66,35
GHCND:USC00190120,AMHERST MA US,19881107,64,34
GHCND:USC00190120,AMHERST MA US,19881108,51,32
